Tamil,English
பங்கு,Stock
நிலையம்,Station
தந்தை,Father
ரொட்டி,Bread
வசூலிக்க,Charging
முறையான,Proper
பட்டியில்,Bar
வாய்ப்பை,Offer
பிரிவு,section
அடிமை,Slave
மூழ்கு,Sink
உடனடி,Instant
சந்தை,Market
பட்டம்,Degree
விரிவுப்படுத்த,Populate
குஞ்சு,Chick
அன்பே,Dear
பகைவன்,Enemy
பதில்,Reply
பானம்,Drink
ஏற்படும்,Occur
ஆதரவு,Support
பேச்சு,Speech
இயற்கையின்,Nature
எல்லை,Boundary
நீராவி,Steam
இயக்கம்,Motion
பாதை,Path
திரவ,Liquid
புகுபதிகை,Log in
பொருள்,Object
ஈவு,Yield
பற்கள்,Teeth
ஷெல்,Shell
கழுத்தில்,In the neck
ஆக்சிஜன்,Oxygen
சர்க்கரை,Sugar
மரணம்,Death
அழகான,Pretty
திறன்,Capacity
பெண்கள்,Women
சீசன்,Season
தீர்வு,Solution
கிரேடு,Grade
வெள்ளி,Silver
நன்றி,Thanks
கிளை,Branch
போட்டியில்,Match
மை,Ink
குறிப்பாக,Particularly
அத்தி,Fig
பயம்,Afraid
பிரம்மாண்டமான,Gigantic
அக்கா,Sister
உருக்கு,The
விவாதிக்க,To discuss
முன்னோக்கி,Forward
இதே,Similar
வழிகாட்ட,Guide
அனுபவம்,Experience
மதிப்பெண்,Score
ஆப்பிள்,Apple
வாங்கி,Bought
தலைமையிலான,Headed
சுருதி,Pitch
கோட்,Coat
வெகுஜன,Mass
கார்டு,Card
இசைக்குழு,Band
கயிற்றில்,Rope
சீட்டு,Slip
வெற்றி,Success
கனவு,Dream
மாலை,Evening
நிலை,Position
ஜூன்,June
கருவி,Tool
மொத்த,Bulk
அடிப்படை,Base
மணம்,Smell
பள்ளத்தாக்கில்,Valley
அல்லது,Or
இரட்டை,Twin
இருக்கை,Seat
தொடர்ந்து,Following
தொகுதி,Block
விளக்கப்படம்,Chart
தொப்பி,Hat
விற்க,To sell
வெற்றி,Success
நிறுவனம்,Company
கழித்தால்,Deducted
நிகழ்வு,Event
குறிப்பாக,Particularly
ஒப்பந்தம்,Contract
து,To
கால,Term
எதிர்,Opposite
மனைவி,Wife
காலணி,Shoe
தோள்பட்டை,shoulder
பரவல்,Diffusion
ஏற்பாடு,Arrangement
முகாம்,Camp
கண்டுபிடித்தல்,Inventory
பருத்தி,Cotton
பிறந்த,Born
தீர்மானிக்க,To determine
பைண்டு அளவு,Quartet
ஒன்பது,Nine
டிரக்,Truck
சத்தம்,Noise
நிலை,Position
வாய்ப்பு,Chance
சேகரிக்க,Collect
கடையை,Shop
நீட்டிக்க,Extend
தூக்கி,Lift
பிரகாசி,Shine
சொத்து,Property
பத்தியில்,Passage
மூலக்கூறின்,Molecule
தேர்ந்தெடு,Select
தவறு,Mistake
சாம்பல்,Gray
மீண்டும்,Again
தேவைப்படுகிறது,needed
பரந்த,Wide
தயார்,Prepare
உப்பு,Salt
மூக்கு,Nose
பன்மை,Plurality
கோபத்தை,Anger
கூற்று,Claim
கண்டத்தின்,Continent
